rph_ID,idhogar,enc_region,enc_rpc,P_AUMENTO_COM,P_INSEG_LUGARES_14,SCREEN_INT_RDV,SCREEN_INT_RFV,SCREEN_INT_RVI,SCREEN_ROB_HUR
00-84-29-31_1,00-84-29-31-H1,7,7304,1.0,2.0,2.0,2.0,2.0,2.0
00-86-19-42_1,00-86-19-42-H1,8,8107,1.0,3.0,1.0,2.0,2.0,1.0
00-86-42-94_1,00-86-42-94-H1,13,13501,1.0,2.0,2.0,2.0,2.0,2.0
00-86-60-14_1,00-86-60-14-H1,5,5501,1.0,3.0,2.0,2.0,2.0,2.0
00-86-74-23_1,00-86-74-23-H1,12,12101,1.0,85.0,2.0,2.0,2.0,2.0
00-86-83-15_1,00-86-83-15-H1,15,15101,1.0,85.0,1.0,2.0,1.0,1.0
00-86-99-86_2,00-86-99-86-H1,13,13123,3.0,4.0,2.0,2.0,2.0,2.0
00-87-02-65_1,00-87-02-65-H1,13,13302,1.0,85.0,,2.0,2.0,2.0
00-87-02-83_2,00-87-02-83-H1,7,7406,1.0,85.0,,2.0,2.0,2.0
00-87-15-51_6,00-87-15-51-H1,13,13110,2.0,3.0,1.0,2.0,2.0,2.0
00-87-36-48_2,00-87-36-48-H1,4,4301,1.0,2.0,2.0,2.0,2.0,2.0
00-87-69-26_1,00-87-69-26-H1,8,8201,1.0,3.0,2.0,2.0,2.0,2.0
00-88-26-24_1,00-88-26-24-H1,13,13401,1.0,3.0,2.0,2.0,2.0,2.0
00-88-31-11_2,00-88-31-11-H1,14,14201,2.0,3.0,2.0,2.0,2.0,2.0
00-88-31-74_1,00-88-31-74-H1,4,4201,1.0,85.0,,2.0,1.0,2.0
00-88-69-63_1,00-88-69-63-H1,7,7101,1.0,2.0,,2.0,2.0,2.0
00-88-76-57_1,00-88-76-57-H1,5,5101,1.0,85.0,,2.0,2.0,2.0
00-88-83-34_1,00-88-83-34-H1,14,14108,1.0,85.0,,2.0,2.0,2.0
00-88-88-30_1,00-88-88-30-H1,13,13401,1.0,85.0,,2.0,2.0,2.0
00-88-95-27_1,00-88-95-27-H1,1,1101,1.0,3.0,2.0,2.0,2.0,2.0
00-89-24-71_1,00-89-24-71-H1,6,6117,1.0,85.0,2.0,2.0,2.0,2.0
00-89-46-97_2,00-89-46-97-H1,5,5701,1.0,85.0,,2.0,2.0,2.0
00-89-67-36_2,00-89-67-36-H1,10,10202,2.0,85.0,,2.0,2.0,2.0
00-89-90-17_1,00-89-90-17-H1,5,5804,1.0,4.0,2.0,2.0,2.0,2.0
00-89-95-64_2,00-89-95-64-H1,8,8110,1.0,3.0,2.0,2.0,2.0,2.0
00-90-10-53_2,00-90-10-53-H1,15,15101,1.0,4.0,1.0,2.0,2.0,2.0
00-90-43-81_1,00-90-43-81-H1,6,6303,1.0,2.0,2.0,2.0,2.0,2.0
00-90-51-54_2,00-90-51-54-H1,7,7301,2.0,3.0,2.0,2.0,2.0,2.0
00-90-58-61_1,00-90-58-61-H1,8,8107,2.0,85.0,2.0,2.0,2.0,2.0
00-90-66-81_1,00-90-66-81-H1,6,6101,1.0,3.0,2.0,2.0,2.0,2.0
00-90-79-05_1,00-90-79-05-H1,10,10101,3.0,3.0,,2.0,2.0,2.0
00-90-89-35_1,00-90-89-35-H1,7,7404,1.0,85.0,,2.0,2.0,2.0
00-90-92-52_1,00-90-92-52-H1,5,5601,1.0,85.0,,2.0,2.0,2.0
00-91-47-03_2,00-91-47-03-H1,12,12101,1.0,85.0,2.0,2.0,2.0,2.0
00-91-55-16_1,00-91-55-16-H1,5,5401,2.0,85.0,,2.0,2.0,1.0
00-91-84-84_1,00-91-84-84-H1,8,8108,2.0,3.0,2.0,2.0,2.0,2.0
00-91-93-51_1,00-91-93-51-H1,5,5103,1.0,3.0,,2.0,2.0,2.0
00-92-23-79_2,00-92-23-79-H1,8,8107,1.0,85.0,,2.0,2.0,2.0
00-92-52-07_1,00-92-52-07-H1,13,13404,1.0,3.0,2.0,2.0,2.0,2.0
00-92-62-85_3,00-92-62-85-H1,8,8103,1.0,2.0,2.0,2.0,2.0,2.0
00-92-71-44_1,00-92-71-44-H1,1,1107,1.0,3.0,,2.0,2.0,2.0
00-92-75-84_2,00-92-75-84-H1,13,13116,1.0,85.0,2.0,2.0,2.0,1.0
00-92-81-69_1,00-92-81-69-H1,5,5103,1.0,85.0,2.0,2.0,2.0,2.0
00-92-90-10_1,00-92-90-10-H1,13,13104,1.0,4.0,,2.0,1.0,2.0
00-92-97-36_2,00-92-97-36-H1,8,8102,1.0,3.0,,2.0,2.0,2.0
00-93-00-74_1,00-93-00-74-H1,7,7401,1.0,3.0,,2.0,2.0,2.0
00-93-03-69_1,00-93-03-69-H1,8,8106,1.0,3.0,,2.0,2.0,2.0
00-93-16-43_2,00-93-16-43-H1,5,5103,1.0,85.0,,2.0,1.0,2.0
00-93-22-86_1,00-93-22-86-H1,1,1101,1.0,3.0,2.0,2.0,2.0,2.0
00-93-33-68_1,00-93-33-68-H1,12,12101,1.0,85.0,,1.0,2.0,2.0
00-93-97-45_2,00-93-97-45-H1,13,13119,1.0,85.0,2.0,2.0,2.0,2.0
00-94-03-48_1,00-94-03-48-H1,8,8107,1.0,3.0,,2.0,2.0,2.0
00-94-46-36_4,00-94-46-36-H1,13,13131,1.0,4.0,2.0,2.0,1.0,2.0
00-94-56-29_1,00-94-56-29-H1,2,2301,2.0,3.0,,2.0,2.0,2.0
00-95-23-96_1,00-95-23-96-H1,13,13401,1.0,3.0,,2.0,2.0,2.0
00-95-28-44_1,00-95-28-44-H1,13,13118,1.0,3.0,2.0,2.0,2.0,2.0
00-95-70-33_2,00-95-70-33-H1,13,13130,1.0,3.0,,2.0,2.0,2.0
00-96-41-00_2,00-96-41-00-H1,13,13127,2.0,3.0,2.0,2.0,2.0,2.0
00-96-56-06_1,00-96-56-06-H1,8,8106,1.0,2.0,,2.0,2.0,2.0
00-96-71-23_1,00-96-71-23-H1,13,13126,1.0,3.0,,2.0,2.0,2.0
00-96-82-88_3,00-96-82-88-H1,7,7401,1.0,85.0,2.0,2.0,2.0,2.0
00-96-90-89_1,00-96-90-89-H1,13,13121,2.0,85.0,2.0,2.0,2.0,2.0
00-96-99-64_1,00-96-99-64-H1,12,12401,88.0,85.0,,2.0,2.0,2.0
00-97-25-54_3,00-97-25-54-H1,9,9108,1.0,85.0,2.0,2.0,2.0,2.0
00-97-30-46_3,00-97-30-46-H1,8,8102,1.0,4.0,2.0,2.0,2.0,2.0
00-97-44-06_1,00-97-44-06-H1,13,13118,1.0,3.0,,2.0,2.0,2.0
00-97-50-13_2,00-97-50-13-H1,6,6108,2.0,3.0,2.0,2.0,2.0,2.0
00-97-59-12_1,00-97-59-12-H1,15,15101,1.0,4.0,,2.0,2.0,2.0
00-97-68-42_1,00-97-68-42-H1,7,7304,1.0,85.0,2.0,2.0,2.0,2.0
00-97-73-33_1,00-97-73-33-H1,7,7301,1.0,3.0,2.0,2.0,2.0,2.0
00-97-98-29_1,00-97-98-29-H1,5,5804,1.0,85.0,,2.0,2.0,2.0
00-98-03-11_3,00-98-03-11-H1,13,13125,1.0,85.0,,2.0,2.0,2.0
00-98-28-02_1,00-98-28-02-H1,13,13127,1.0,85.0,,2.0,2.0,2.0
00-99-23-48_3,00-99-23-48-H1,16,16103,1.0,85.0,2.0,2.0,2.0,2.0
00-99-30-52_1,00-99-30-52-H1,13,13108,1.0,3.0,2.0,2.0,2.0,2.0
00-99-45-23_1,00-99-45-23-H1,13,13601,1.0,85.0,2.0,2.0,2.0,2.0
00-99-69-10_1,00-99-69-10-H1,9,9201,3.0,85.0,,1.0,2.0,2.0
01-00-07-58_3,01-00-07-58-H1,13,13601,1.0,85.0,2.0,2.0,2.0,2.0
01-00-46-52_1,01-00-46-52-H1,6,6101,1.0,2.0,2.0,2.0,2.0,2.0
01-00-63-64_2,01-00-63-64-H1,8,8102,1.0,85.0,,1.0,2.0,2.0
01-00-71-94_1,01-00-71-94-H1,10,10208,1.0,3.0,,2.0,2.0,2.0
01-00-97-55_2,01-00-97-55-H1,16,16101,2.0,3.0,,2.0,2.0,2.0
01-01-02-47_1,01-01-02-47-H1,9,9201,2.0,85.0,2.0,2.0,2.0,2.0
01-01-10-14_1,01-01-10-14-H1,13,13401,1.0,3.0,1.0,2.0,1.0,2.0
01-01-44-60_1,01-01-44-60-H1,8,8102,1.0,3.0,,2.0,2.0,2.0
01-01-44-68_2,01-01-44-68-H1,6,6201,1.0,85.0,,2.0,2.0,2.0
01-01-90-02_1,01-01-90-02-H1,6,6117,1.0,3.0,,2.0,2.0,2.0
01-02-14-62_1,01-02-14-62-H1,13,13101,2.0,3.0,,2.0,2.0,2.0
01-02-33-27_2,01-02-33-27-H1,7,7401,1.0,85.0,,2.0,2.0,2.0
01-02-65-59_1,01-02-65-59-H1,7,7201,1.0,85.0,,2.0,2.0,2.0
01-02-78-91_1,01-02-78-91-H1,4,4203,1.0,3.0,,2.0,2.0,2.0
01-03-03-85_1,01-03-03-85-H1,8,8103,1.0,85.0,2.0,2.0,2.0,2.0
01-03-30-39_1,01-03-30-39-H1,8,8106,1.0,3.0,,2.0,2.0,2.0
01-03-40-64_1,01-03-40-64-H1,9,9120,1.0,85.0,,2.0,2.0,2.0
01-03-42-07_1,01-03-42-07-H1,14,14108,1.0,85.0,,2.0,2.0,2.0
01-03-56-13_2,01-03-56-13-H1,10,10109,3.0,85.0,,2.0,2.0,2.0
01-03-56-38_3,01-03-56-38-H2,13,13108,1.0,3.0,1.0,1.0,2.0,2.0
01-03-91-31_2,01-03-91-31-H1,13,13201,1.0,85.0,2.0,2.0,2.0,2.0
01-03-93-11_1,01-03-93-11-H1,12,12101,1.0,3.0,2.0,2.0,2.0,2.0
01-04-00-63_1,01-04-00-63-H1,10,10109,1.0,85.0,2.0,2.0,2.0,2.0
01-04-04-87_2,01-04-04-87-H1,5,5801,1.0,85.0,,2.0,2.0,2.0
01-04-20-71_1,01-04-20-71-H1,16,16301,1.0,85.0,,2.0,2.0,2.0
01-04-33-14_1,01-04-33-14-H1,4,4201,1.0,2.0,2.0,2.0,2.0,2.0
01-04-49-30_1,01-04-49-30-H1,9,9120,1.0,3.0,2.0,2.0,2.0,2.0
01-04-65-41_2,01-04-65-41-H1,13,13132,1.0,85.0,2.0,2.0,2.0,2.0
01-05-04-16_1,01-05-04-16-H1,7,7101,1.0,2.0,2.0,2.0,2.0,2.0
01-05-19-84_1,01-05-19-84-H1,9,9120,1.0,85.0,2.0,2.0,2.0,2.0
01-05-41-86_1,01-05-41-86-H1,16,16201,2.0,3.0,,2.0,2.0,2.0
01-05-49-49_2,01-05-49-49-H1,13,13108,2.0,2.0,2.0,2.0,2.0,2.0
01-05-57-14_4,01-05-57-14-H1,13,13102,2.0,85.0,2.0,2.0,2.0,2.0
01-05-68-69_1,01-05-68-69-H1,5,5109,1.0,2.0,2.0,1.0,2.0,2.0
01-05-85-66_2,01-05-85-66-H1,16,16101,1.0,85.0,,2.0,2.0,2.0
01-06-70-98_1,01-06-70-98-H1,13,13104,1.0,2.0,,2.0,1.0,2.0
01-06-80-83_3,01-06-80-83-H1,13,13119,1.0,2.0,2.0,2.0,2.0,2.0
01-07-21-08_1,01-07-21-08-H1,7,7304,1.0,85.0,,2.0,2.0,2.0
01-07-39-72_1,01-07-39-72-H1,13,13201,1.0,3.0,1.0,2.0,2.0,2.0
01-07-55-84_2,01-07-55-84-H1,5,5802,1.0,3.0,,2.0,2.0,2.0
01-07-79-00_2,01-07-79-00-H1,2,2301,1.0,85.0,,2.0,2.0,2.0
01-08-40-39_2,01-08-40-39-H1,13,13131,1.0,4.0,,2.0,2.0,2.0
